[temtusr@IEMSLAMSREP02 etllogs]$ cat ecm-IEMSLAMSREP02-11-5-2018.log
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for B045-A-Fv5.0-WAS-WIN
ERROR : Incomplete data present in SCA for policy B045-A-Fv5.0-WAS-WIN. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: ECM output generation process Ended.
ECM : 2018-11-05-11:45:03 : temtusr : ##############################################################################################
[temtusr@IEMSLAMSREP02 etllogs]$
